,id,star,comment,sentiment,snlp_result
1,73798971,6,,1,0
6,73798971,3,服务员 开发票 说 美团 开发票 吃饭 开发票 亲 别上 这家 店 吃 ,0,0
8,42913245,7,                                      错 ,1,0
11,5638032,6,吃饭 酸菜鱼 偏淡 份量 少 一点 ,1,0
12,190303711,5,味道 浓郁 吃 腻 用料 足 酸 萝卜 好吃 糖水 稠 稀 一点 水分 多些 更好 主菜 稠 ,0,0
13,172239782,2,好吃 味道 奇怪 想着 尝鲜 ,0,0
15,159146980,7,牛肉 味道 不错 雪糕 好吃 坐下 计时 时间 紧 两个 钟 吃 更好 ,1,0
18,92159107,7,超级 好吃 ,1,0
19,160789530,8,火焰 牛扒 ,1,0
27,4739416,8,三文鱼 厚 寿司 饭 料 够 足 大碗 ,1,0
33,164491336,6,美团点 套餐 冬阴功 挺好吃 味道 合适 一点点 辣 海鲜 种类 确实 不错 咖啡 麻麻 下次 再点 好久 上菜 饭 第二个 饭要 20 多分钟 催 三次 ..... ,1,0
36,73798971,6,周末 北京路 逛街 系 光明 广场 楼 见到 佢 新 开张 新 开张 活动 月份 整月 打折 6.8 折 试试 天寒地冻 适合 吃 热辣辣 铁板 嘎啦 试 咗 点 咗 一份 铁板 鸡 扒 套餐 一杯 柠檬茶 一份 玉米汤 一份 扒 同意 粉 39 一份 白汁 焗 鸡 扒 饭 29 仲有 份 小食 19 15 一共 先 101 几抵 吃 就系 同赛 牛 咯 ,1,0
37,633706,3,12 年 团 越来越 贵 越来越 好吃 ,0,0
40,5527472,5,服务 差评 菜 半个 钟 说点 菜 点 ,0,0
43,172239782,4,味道 吃饭 地方 茶水 饮用 好无语 ,0,0
44,5527472,6,味道 不错 香味 衣服 弄 一股 味道 上菜 太慢 催 ,1,0
46,179658375,2,椰子 鸡 味道 一般般 鸡肉 鲜味 煲仔饭 味道 新来 服务员 问 端来 椰子 水 收钱 .... 端来 告知 收费 ,0,0
48,5527472,4,味道 口味重 不太 习惯 服务 ,0,0
49,158754521,6,上菜 地方 不错 胖 哥俩 相比 广东 特色 虾 不大不小 算 新鲜 味道 偏咸 ,1,0
56,633706,4,女服务员 态度 菜品 一般般 ,0,0
57,107377267,1,菜 完 饮料 明明 先来 其他人 喝 桌 先来后到 之分 30 分钟 前 催 催 三四次 没上 饮料 最慢 地方 ,0,0
