,id,star,comment,sentiment,snlp_result
0,90908955,8,很棒 猫咪   问 店员 店铺 一共 20 猫猫   颜值 超高 小猫咪 出品 很棒 点 地瓜 条 黑森林   饮品 爆炸 头 蜜桃 苏打 地瓜 条太甜 爱 吃   黑森林 超 好吃 饮品 不错   好喝   好看 颜值 味道 店员 提醒 喝 好喝 热情 价格 猫 咖店 消费 棒   黑森林 蛋糕   蜜桃 妖姬 苏打   提拉 米苏 ,1,1
2,73798971,5,菜品 口感 不错 环境 不错 服务 跟进 服务员 喊 人理 上菜 稍慢 ,0,1
3,158754521,8,服务 热情 服务员 服装 特色 可爱 肉蟹 煲 里 鸡爪 很软 饮品 不错 泡菜 土豆丝 很赞 店内 环境 店名 挺 相衬 ,1,1
4,73798971,8,双人 套餐 两人 吃 很饱 玉米汤 不错 牛排 很嫩 ,1,1
5,4205874,8,好吃 喜欢 芝士 口感 ,1,1
7,74582725,7,喜欢 ,1,1
9,67446384,8,好吃 性价比 不错   鸡翅 ,1,1
10,73798971,8,第一次 吃   介绍   不错 ,1,1
14,2501098,6,口味 不错 鱼 点 烤焦 股焦 胡味 ,1,1
16,633706,7,不错 一家 西餐厅 经济 实惠 情侣 去处 下次 还会 ,1,1
17,5527472,8,代金券 划算 口味 喜欢 ,1,1
20,633706,5,不错 划算 生意 太好了 服务 欠佳 ,0,1
21,5638032,7,名店 抢购 代金券 便宜 三十块 钱 感谢 美团 优惠活动 北京路 光明 广场 毛 这家 生意 火爆 服务态度 点 酸菜鱼 够酸爽 鱼肉 烂糊 白菜 一如 继往 美味 吃 汤底 小小的 虾米 虎皮 椒 豆豉 鱼 好吃 小萝卜 新鲜 可口 脆嫩 猪肉 馅饼 美味 炸酱面 太软 吃 腻 菜 健康 口味 希望 多出 新品 支持 美团 ,1,1
22,633706,7,还行 吃不完 口味 人太多 服务员 顾不过来 上排 细心 帮 顾客 遮 ,1,1
23,5527472,6,优惠 二十多 星期天 等位 总体 ,1,1
24,73798971,7,牛排 太高 值得 一试 ,1,1
25,164409108,7,朋友 广州 玩 几天 先带 逛 北京路 步行街 吃 一点 想起 一家 店 出品 满意 星期五 客人 稍微 ,1,1
26,73798971,7,分量 很足 味道 不错 ,1,1
28,2501098,6,味道 价格 贵 环境 还行 ,1,1
29,73798971,8,不错   吃 ,1,1
30,633706,7,黑椒 牛排 超 好吃 不错 划算 吃 环境 想象 安静 太吵 ,1,1
31,5527472,8,味道 喜欢 味道 喜欢 值得 信 ,1,1
32,73798971,8,牛排 好吃 饮料 好喝 吃 很饱 ,1,1
34,2501098,8,味道 不错 环境 回头 机会 ,1,1
35,158754521,8,环境优美 灯光 给力 气氛 不错 适合 情侣 用餐 ,1,1
38,73798971,6,东西 不错 饮料 不太 好喝 价格 实惠 ,1,1
39,158754521,8,服务 挺 环境 优雅 很快 上菜 ,1,1
41,73798971,6,七点钟 等位 地方 时间 太久 环境 不错 三个 吃 外加 炒饭 牛排 汤 很浓 稠 芒果 沙冰 不错 椰奶 沙冰 甜 泰皇 海鲜 炒饭 虾 吃 味道 好像 怪怪的 太 喜欢 味道 豆腐 不错 ,1,1
42,158754521,8,味道 不错         女朋友 吃       适合 约会 吃 ,1,1
45,73798971,6,好久 光明 广场 约 朋友 吃 中午饭 一家 三楼 环境 不错 两个 分量 够吃 每台 加多 10 元 等于 变相 加 服务费 朋友 吃 扶 墙 走 搭 吃 女仔 打包 ,1,1
47,158754521,7,第二次 味道 份量 不错 两个 吃 超级 ,1,1
50,73798971,7,不错 ,1,1
51,633706,8,挺 分量 上菜 吃 ,1,1
52,109403441,8,很赞 ,1,1
53,164166476,8,探蟹 吃 感觉 门店 整体 贵 价格 实惠 ,1,1
54,73798971,6,我点 双人 套餐 92 块 吃 划算 东西 不错 套餐 吃不完 下次 还会 吃 不错 ,1,1
55,90908955,8,可爱 ,1,1
59,5638032,8,好吃 喜欢 吃 手工 面 全家人 ,1,1
